Country Name,Code,2013,2014,2015,2016,2017,2018,2019,Region
"Gambia, The",GMB,1375608956.10386,1229460601.92174,1378176868.31568,1484579844.37143,1504909753.28746,1670670668.5939,1812529104.61923,Africa
Guinea-Bissau,GNB,1046087417.96916,1054915645.19654,1048229629.42039,1179004941.22904,1350177127.5523,1504630120.99275,1439638443.38133,Africa
Equatorial Guinea,GNQ,21948834290.3538,21765453087.4795,13185496881.4055,11240808846.6928,12200913887.6419,13097012189.3995,11417278044.9859,Africa
Greece,GRC,238839788899.338,235144949470.797,195604846736.019,193017030649.7,199350781053.185,211945897765.431,205144152830.847,Europe
Grenada,GRD,842620111.111111,911497407.407407,997007925.925926,1061640740.74074,1125685185.18519,1166523555.55556,1212694407.40741,North America
Greenland,GRL,2684952726.88425,2842048997.77283,2499115623.00272,2707146783.13056,2851610655.92391,3040414278.02236,2982247278.61577,North America
Guatemala,GTM,52996540703.5943,57852399963.7878,62186186575.7433,66053725049.0138,71654134378.5299,73208583758.9105,77020015201.3201,North America
Guam,GUM,5399000000.0,5610000000.0,5799000000.0,5901000000.0,6013000000.0,6060000000.0,6364000000.0,Oceania
Guyana,GUY,4167800259.20888,4127659492.02031,4279840193.7046,4482697336.56174,4748174334.14044,4787636237.24043,5173760191.84652,South America
High income,HIC,49750908505726.5,50836230895596.5,48055867599598.7,49096222099382.5,51317176380343.4,54557477581503.8,55045647599804.8,
"Hong Kong SAR, China",HKG,275696879834.966,291459356985.337,309383627028.561,320837638328.846,341244161576.759,361691522612.745,363016373358.517,Asia
Honduras,HND,18372173380.7373,19618567249.5003,20833948799.5352,21566622849.6057,22975415842.4648,23900438563.7271,24915522849.1544,North America
Heavily indebted poor countries (HIPC),HPC,650020934455.225,687772113939.376,660137574454.023,668494140790.382,720193577997.662,768422112077.273,789831743959.288,
Croatia,HRV,58889082315.336,58330289756.6914,50163192883.1515,52295158344.2544,56214427431.2,62247874948.8225,62246206340.5469,Europe
Haiti,HTI,14902474090.615,15139264670.4225,14833154471.7456,13987693738.923,15035560372.6443,16455034352.7671,14785839382.9002,
Hungary,HUN,135732595721.853,141078984816.675,125210324613.14,128636108315.474,143136245596.988,160586833778.457,163526491433.29,Europe
IBRD only,IBD,26606911798876.8,27504267603927.4,25777855012106.7,25985815318089.0,28680103566456.8,30478923454219.6,31184076970102.0,
IDA & IBRD total,IBT,28527644003843.4,29559228896028.4,27795215937749.3,27944071146475.4,30704487501895.7,32623821519669.5,33422564858176.3,
IDA total,IDA,1920732204966.61,2054961292101.08,2016489528845.36,1958087127898.94,2025486792815.3,2146130874749.33,2239335266065.3,
IDA blend,IDB,977960758120.661,1049228964549.63,1011433451408.63,942117764046.8,925118884014.572,966188380162.912,998391254201.582,
Indonesia,IDN,912524136718.018,890814755233.225,860854235065.079,931877364177.742,1015618742565.81,1042271531011.99,1119091259074.62,Asia
